Object ID,Object class,Zone,Scenario B status,Qty,SmartDraw label,Vendor / model,Actual body W (in),Actual body D (in),Actual H (in),SmartDraw block W (in),SmartDraw block D (in),Planning envelope W (in),Planning envelope D (in),Support / furniture ID,Primary association / workflow,Electrical,Water / drain,Gas,Exhaust / ventilation,Preferred placement,Verification level,Source name,Source URL,Notes / constraints,Suggested SmartDraw layer,Floor area counted?,Body area (sq ft),Envelope area (sq ft),Counted floor footprint (sq ft),Block area (sq ft),Status key,Review flag
B-T-SYKAM01,Furniture,Clean instrument,Required,1,96 x 36 DEDICATED SYKAM BENCH,"Uline-style 96 x 36 phenolic lab workbench, open frame",,,,96,36,96,36,,Supports modular Sykam S 433 configuration and monitor/PC section,,,,,Clean instrument zone; separate from grinding and acid prep,Source-verified bench module; Sykam must approve suitability,Uline Lab Workbenches,https://www.uline.com/BL_3509/Lab-Workbenches,"Final module arrangement, reagent racks and waste bottles may require a longer or second bench.",SCENARIO B - FURNITURE,Yes,,24.0,24.0,24.0,REQ,
B-STOR-REAG01,Storage,Clean / wet support,Required,1,36 x 24 GENERAL REAGENT / STANDARDS CABINET,Laboratory cabinet - type to select,,,,36,24,36,24,,"Nonflammable compatible reagents, standards and clean accessories",,,,,Between wet and clean zones without blocking utilities,Planning allowance,Scenario B site requirements,,Do not use for incompatible chemical classes.,SCENARIO B - FURNITURE,Yes,,6.0,6.0,6.0,REQ,REVIEW
B-STOR-CONS01,Storage,General support,Required,1,48 x 24 CONSUMABLES CABINET / SHELVING,Cabinet or shelving - type to select,,,,48,24,48,24,,"Sample cups, filters, crucibles, foil, tubes, glassware and routine supplies",,,,,Accessible to prep and analytical lanes; avoid window obstruction if tall,Planning allowance,AIT user direction and Scenario B operations,,Use low storage near window walls; tall storage should use solid-wall areas.,SCENARIO B - FURNITURE,Yes,,8.0,8.0,8.0,REQ,REVIEW
B-COMP-DK01,Computer overlay,Dirty / noisy prep,Required,1,LAPTOP DOCK + MONITOR STATION 1,AIT laptop dock and monitor arm,,,,30,24,30,24,B-T-PREP02,Prep-zone laptop dock/monitor and LIMS access,120 V power and data/network,,,,Reserve a 30 x 24 bench section; ceiling or bench service as appropriate,AIT planning module,AIT user direction,,"This is an overlay/bench section, not an additional freestanding table.",SCENARIO B - EQUIPMENT,No,,5.0,0,5.0,REQ,
B-COMP-DK02,Computer overlay,Wet / thermal,Required,1,LAPTOP DOCK + MONITOR STATION 2,AIT laptop dock and monitor arm,,,,30,24,30,24,B-FIX-WASH-ENV or B-T-DES01,Wet/thermal-zone laptop dock/monitor and LIMS access,120 V power and data/network,,,,Reserve a 30 x 24 bench section; ceiling or bench service as appropriate,AIT planning module,AIT user direction,,"This is an overlay/bench section, not an additional freestanding table.",SCENARIO B - EQUIPMENT,No,,5.0,0,5.0,REQ,
B-COMP-DK03,Computer overlay,Clean general analysis,Required,1,LAPTOP DOCK + MONITOR STATION 3,AIT laptop dock and monitor arm,,,,30,24,30,24,B-T-CLEAN01 or B-T-CLEAN02,Clean-zone laptop dock/monitor and LIMS review,120 V power and data/network,,,,Reserve a 30 x 24 bench section; ceiling or bench service as appropriate,AIT planning module,AIT user direction,,"This is an overlay/bench section, not an additional freestanding table.",SCENARIO B - EQUIPMENT,No,,5.0,0,5.0,REQ,
B-COMP-LECO,Computer overlay,Clean instrument,Required,1,LECO STANDALONE PC / MONITOR,PC included in LECO quoted package,,,,30,24,30,24,B-T-LECO01,LECO Cornerstone control/data,120 V power and data/network,,,,At end of LECO bench or on approved arm; keep maintenance access clear,Quote-confirmed PC; exact desk/monitor arrangement verify,User-supplied LECO quotation 144186-0,,No separate 48 x 30 desk is reserved unless OEM workflow requires it.,SCENARIO B - EQUIPMENT,No,,5.0,0,5.0,REQ,REVIEW
B-COMP-SYKAM,Computer overlay,Clean instrument,Required,1,SYKAM STANDALONE PC / MONITOR,Standalone chromatography workstation - final configuration verify,,,,30,24,30,24,B-T-SYKAM01,Sykam control/data,"120 V power, UPS and data/network",,,,At end of Sykam bench or approved arm,Planning allowance,Scenario B starter prompt,,Keep as an independent overlay; final PC form factor and UPS are OEM decisions.,SCENARIO B - EQUIPMENT,No,,5.0,0,5.0,REQ,REVIEW
B-UTIL-DUST01,Floor utility,Dirty / noisy prep,Required,1,24 x 24 DUST COLLECTION UNIT - PRIMARY MILL,Local dust collector/cyclone - model to select,,,,24,24,36,36,B-EQ-PREP01,PULVERISETTE 19 dust control,Confirm selected unit,,,Discharge/filtration per EHS and facility design,Near P19 without blocking service or aisle,Planning allowance,Scenario B site requirements,,"Final model may be bench-mounted, floor-standing or remote.",SCENARIO B - UTILITIES,Yes,,9.0,4.0,4.0,REQ,REVIEW
B-UTIL-DUST02,Floor utility,Dirty / noisy prep,Required,1,24 x 24 DUST COLLECTION UNIT - FINE PREP,Local dust collector/cyclone - model to select,,,,24,24,36,36,B-EQ-PREP04 / B-EQ-PREP05,CT293/fine-prep dust control,Confirm selected unit,,,Discharge/filtration per EHS and facility design,Near fine-prep bench without blocking collection bottles,Planning allowance,Scenario B site requirements,,May be combined with primary collection only if engineering review supports it.,SCENARIO B - UTILITIES,Yes,,9.0,4.0,4.0,REQ,REVIEW
B-T-WETPREP01,Conditional furniture,Wet chemistry / fiber,Conditional - add only if wash/hood surfaces are insufficient,1,72 x 30 GENERAL WET-PREP / CABINET BENCH,Uline-style lab cabinet workbench or compatible acid-resistant bench,,,,72,30,72,30,,Phosphorus/starch reagent prep and general wet work,,,,,"Near wash station and hoods, not over the utility manifold",Source-verified module; need for it depends on B1 fit,Uline Lab Cabinet Workbenches,https://www.uline.com/BL_4572/Lab-Cabinet-Workbenches,Park on the object-library page until the required equipment fits; do not force into B1 by shrinking aisles.,SCENARIO B - FURNITURE,Yes,,15.0,15.0,15.0,COND,
B-T-EXP01,Conditional furniture,Expansion reserve,Conditional - reserve only if space allows,1,96 x 36 FUTURE EXPANSION BENCH,Uline-style 96 x 36 phenolic lab workbench,,,,96,36,96,36,,Future Scenario A/C upgrade or unselected support equipment,,,,,Adjacent to utility or clean spine without blocking current circulation,Source-verified module; optional in initial B1,Uline Lab Workbenches,https://www.uline.com/BL_3509/Lab-Workbenches,"Do not count this as required launch furniture if it prevents a safe, workable Scenario B layout.",SCENARIO B - FURNITURE,Yes,,24.0,24.0,24.0,COND,
B-STOR-COLD01,Conditional storage,Clean instrument,Conditional - add if Sykam reagents require local cold storage,1,24 x 30 UNDERCOUNTER REAGENT REFRIGERATOR,Laboratory refrigerator - model to select,,,,24,30,24,30,,Sykam standards/reagents requiring local cold storage,Dedicated 120 V as selected; emergency power decision,,,,Near Sykam but outside heat/solvent/acid zones,Planning allowance - OEM/reagent plan required,Scenario B site requirements,,May fit under an approved bench; this row reserves the footprint until the reagent plan is confirmed.,SCENARIO B - FURNITURE,Yes,,5.0,5.0,5.0,COND,REVIEW
B-U-PD01..05,Utility template,Distributed,Template - create five separate candidate drops,5,CEILING POWER + DATA DROP,Overhead service drop candidate,,,,12,12,12,12,,"Prep, clean island, LECO, Sykam and expansion/overflow",Circuit/load to be assigned by MEP,,,,"Avoid lights, diffusers, sprinklers and access panels",Planning assumption - MEP verify,AIT user direction,,Create five individually movable objects with sequential IDs. Do not route or size circuits in SmartDraw.,SCENARIO B - UTILITIES,No,,1.0,0,1.0,TEMPLATE,REVIEW
B-U-WD01..03,Utility template,East utility spine,Template - create three separate branch points,3,WATER / DRAIN BRANCH POINT,Branch point candidate,,,,12,12,12,12,,"Wash station, FIWE and Soxhlet condenser/recovery support",,"Exact supply, return, vent, trap and waste compatibility field/MEP verify",,,Branch from east-side rough-in; minimize long drain runs,Planning assumption - field/MEP verify,AIT user direction,,Create three individually movable symbols. Do not imply an approved drain path.,SCENARIO B - UTILITIES,No,,1.0,0,1.0,TEMPLATE,REVIEW
B-U-GAS01,Utility symbol,Clean instrument,Required planning symbol,1,LECO OXYGEN / CARRIER GAS POINT,Gas manifold/drop candidate,,,,18,12,18,12,B-EQ-PROT01,LECO configured gas service,,,"Exact gases, pressures and cylinder/generator location per LECO pre-install guide",,Near LECO with protected routing,OEM/MEP/EHS verify,Scenario B site requirements,,Do not show final cylinder anchoring or manifold design without EHS/MEP review.,SCENARIO B - UTILITIES,No,,1.5,0,1.5,REQ,REVIEW
B-U-GAS02,Utility symbol,Wet chemistry / acid prep,Required planning symbol,1,AA-PREP NITROGEN POINT,Nitrogen drop/manifold candidate,,,,18,12,18,12,B-EQ-AAPREP01,Nitrogen evaporator,,,Flow/pressure and source per selected evaporator,,At AA prep hood,OEM/MEP/EHS verify,Scenario B site requirements,,Keep independent from the LECO gas symbol.,SCENARIO B - UTILITIES,No,,1.5,0,1.5,REQ,REVIEW
B-U-EXH01,Utility symbol,Distributed,Required planning symbol,1,LECO COMBUSTION EXHAUST POINT,Exhaust connection candidate,,,,18,12,18,12,B-EQ-PROT01,Dedicated exhaust planning point,,,,"Flow, duct, interlock and discharge location by OEM/MEP",Adjacent to associated equipment/fixture,OEM/MEP verify,Scenario B site requirements,,Symbol only; no duct sizing or route approval is implied.,SCENARIO B - UTILITIES,No,,1.5,0,1.5,REQ,REVIEW
B-U-EXH02,Utility symbol,Distributed,Required planning symbol,1,SOXHLET HOOD EXHAUST POINT,Exhaust connection candidate,,,,18,12,18,12,B-HOOD-SOX01,Dedicated exhaust planning point,,,,"Flow, duct, interlock and discharge location by OEM/MEP",Adjacent to associated equipment/fixture,OEM/MEP verify,Scenario B site requirements,,Symbol only; no duct sizing or route approval is implied.,SCENARIO B - UTILITIES,No,,1.5,0,1.5,REQ,REVIEW
B-U-EXH03,Utility symbol,Distributed,Required planning symbol,1,ACID-PREP HOOD EXHAUST POINT,Exhaust connection candidate,,,,18,12,18,12,B-HOOD-AA01,Dedicated exhaust planning point,,,,"Flow, duct, interlock and discharge location by OEM/MEP",Adjacent to associated equipment/fixture,OEM/MEP verify,Scenario B site requirements,,Symbol only; no duct sizing or route approval is implied.,SCENARIO B - UTILITIES,No,,1.5,0,1.5,REQ,REVIEW
B-U-EXH04,Utility symbol,Distributed,Conditional - depends on final thermal location,1,THERMAL EXHAUST / CANOPY POINT,Exhaust connection candidate,,,,18,12,18,12,B-EQ-MOIST02A / B-EQ-MOIST02B,Dedicated exhaust planning point,,,,"Flow, duct, interlock and discharge location by OEM/MEP",Adjacent to associated equipment/fixture,OEM/MEP verify,Scenario B site requirements,,Symbol only; no duct sizing or route approval is implied.,SCENARIO B - UTILITIES,No,,1.5,0,1.5,COND,REVIEW
B-U-UPS01,Utility symbol,Clean instrument,Required planning symbol,1,SYKAM UPS,UPS - load/runtime to select,,,,18,12,24,18,B-EQ-AA02,Sykam analyzer and workstation power protection,Size after final module/PC loads,,,,Near Sykam without blocking service,OEM/IT/MEP verify,Scenario B site requirements,,Top-view block is provisional.,SCENARIO B - UTILITIES,No,,3.0,0,1.5,REQ,REVIEW
B-U-UPS02,Utility symbol,Clean instrument,Conditional - add if LECO/IT requires,1,LECO / PC UPS,UPS - load/runtime to select,,,,18,12,24,18,B-EQ-PROT01,LECO PC/data power protection,Confirm LECO and IT requirements,,,,Near LECO/PC,OEM/IT/MEP verify,Planning assumption,,Do not include unless LECO/IT confirms need.,SCENARIO B - UTILITIES,No,,3.0,0,1.5,COND,REVIEW
B-REF-HANDOFF01,Reference symbol,Room interface,Reference only - no equipment block in Room 114,1,ALIQUOT HANDOFF TO EXISTING LCMS / ICP-OES / MULTIWAVE,Workflow arrow/callout only,,,,24,12,24,12,,Routes prepared aliquots to existing controlled Prep Lab/Lab,,,,,At the appropriate Room 114 interface; no sample receiving station,Project constraint,Scenario B workbook and AIT direction,,"Do not place the existing LCMS-8040RX, ICP-OES or Multiwave 5000 as equipment inside Room 114.",SCENARIO B - UTILITIES,No,,2.0,0,2.0,REF,
B-CLR-PRIMARY,Clearance template,Distributed,Template - duplicate/extend as needed,1,48-IN PRIMARY CIRCULATION,Planning aisle ribbon,,,,48,120,48,120,,Main circulation and egress planning,,,,,Connect entrances and major zones,Planning assumption - architect/EHS verify,Scenario B starter prompt,,Width is the controlling dimension; length is a movable template only.,SCENARIO B - CLEARANCES,No,,40.0,0,40.0,TEMPLATE,REVIEW
B-CLR-WORK,Clearance template,Distributed,Template - duplicate/extend as needed,1,42-IN ACTIVE WORK AISLE,Planning aisle ribbon,,,,42,120,42,120,,Analyst working aisle in front of benches,,,,,In front of active bench runs and islands,Planning assumption - architect/EHS verify,Scenario B starter prompt,,Width is the controlling dimension; length is a movable template only.,SCENARIO B - CLEARANCES,No,,35.0,0,35.0,TEMPLATE,REVIEW
B-CLR-SERVICE,Clearance template,Distributed,Template - duplicate/extend as needed,1,36-IN PROVISIONAL SERVICE ACCESS,Planning service ribbon,,,,36,72,36,72,,Maintenance/service access where OEM does not require more,,,,,Behind/beside serviceable equipment only when needed,Planning assumption - OEM/architect/EHS verify,Scenario B starter prompt,,Never reduce an OEM clearance to this default.,SCENARIO B - CLEARANCES,No,,18.0,0,18.0,TEMPLATE,REVIEW
